[23:28:34.453] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1285.7368962879407}, Size=35.33333333333333x26.666666666666664, Velocity=2.5513670498102052, Rotation=0
[23:28:34.454] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1283.507300067727}, Size=35.33333333333333x26.666666666666664, Velocity=2.5513670498102052, Rotation=0
[23:28:34.454] PLAYER COLLIDER: Position={-1694.4587496392903 -1285.7368962879407}, Radius=15.5, Velocity=2.5513670498102052, Rotation=0
[23:28:34.469] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1287.9168044819376}, Size=35.33333333333333x26.666666666666664, Velocity=2.625696422680341, Rotation=0
[23:28:34.470] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1285.7368962879407}, Size=35.33333333333333x26.666666666666664, Velocity=2.625696422680341, Rotation=0
[23:28:34.471] PLAYER COLLIDER: Position={-1694.4587496392903 -1287.9168044819376}, Radius=15.5, Velocity=2.625696422680341, Rotation=0
[23:28:34.486] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1290.2655582169796}, Size=35.33333333333333x26.666666666666664, Velocity=2.6972100837872026, Rotation=0
[23:28:34.487] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1287.9168044819376}, Size=35.33333333333333x26.666666666666664, Velocity=2.6972100837872026, Rotation=0
[23:28:34.489] PLAYER COLLIDER: Position={-1694.4587496392903 -1290.2655582169796}, Radius=15.5, Velocity=2.6972100837872026, Rotation=0
[23:28:34.503] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1292.6341114460788}, Size=35.33333333333333x26.666666666666664, Velocity=2.761621774725481, Rotation=0
[23:28:34.504] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1290.2655582169796}, Size=35.33333333333333x26.666666666666664, Velocity=2.761621774725481, Rotation=0
[23:28:34.505] PLAYER COLLIDER: Position={-1694.4587496392903 -1292.6341114460788}, Radius=15.5, Velocity=2.761621774725481, Rotation=0
